instrument_name,strike,expiration_timestamp,option_type,expiry,days2exp,bid,ask,spot,market_price,iv
BTC-20APR25-76000-C,76000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0685,0.133,84464.19995490066,0.10033967,67.28
BTC-20APR25-76000-P,76000.0,1745136000000,put,2025-04-20 08:00:00,1,,0.0002,84464.19995490066,0.00012917,67.28
BTC-20APR25-78000-C,78000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0435,0.1095,84464.19995490066,0.07670305,54.53
BTC-20APR25-78000-P,78000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0001,0.0002,84464.19995490066,0.00017122,54.53
BTC-20APR25-80000-C,80000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0195,0.0855,84464.19995490066,0.05304004,39.73
BTC-20APR25-80000-P,80000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0001,0.0003,84464.19995490066,0.00018688,39.73
BTC-20APR25-81000-C,81000.0,1745136000000,call,2025-04-20 08:00:00,1,0.008,0.074,84464.19995490066,0.04122612,32.54
BTC-20APR25-81000-P,81000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0001,0.0003,84464.19995490066,0.0002123,32.54
BTC-20APR25-82000-C,82000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0021,0.034,84464.19995490066,0.02959214,27.77
BTC-20APR25-82000-P,82000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0003,0.0005,84464.19995490066,0.00041765,27.77
BTC-20APR25-83000-C,83000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0027,0.023,84464.19995490066,0.01847845,24.36
BTC-20APR25-83000-P,83000.0,1745136000000,put,2025-04-20 08:00:00,1,0.001,0.0013,84464.19995490066,0.0011433,24.36
BTC-20APR25-84000-C,84000.0,1745136000000,call,2025-04-20 08:00:00,1,0.008,0.0085,84464.19995490066,0.00884094,21.47
BTC-20APR25-84000-P,84000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0032,0.0034,84464.19995490066,0.00334512,21.47
BTC-20APR25-85000-C,85000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0025,0.0029,84464.19995490066,0.0027465,20.04
BTC-20APR25-85000-P,85000.0,1745136000000,put,2025-04-20 08:00:00,1,0.009,0.01,84464.19995490066,0.00909001,20.04
BTC-20APR25-86000-C,86000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0008,0.001,84464.19995490066,0.0008685,22.74
BTC-20APR25-86000-P,86000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0021,0.0555,84464.19995490066,0.01905135,22.74
BTC-20APR25-87000-C,87000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0003,0.0004,84464.19995490066,0.00034663,26.56
BTC-20APR25-87000-P,87000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0011,0.0675,84464.19995490066,0.03036882,26.56
BTC-20APR25-88000-C,88000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0001,0.0003,84464.19995490066,0.00019495,31.32
BTC-20APR25-88000-P,88000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0075,0.0795,84464.19995490066,0.04205647,31.32
BTC-20APR25-89000-C,89000.0,1745136000000,call,2025-04-20 08:00:00,1,0.0001,0.0002,84464.19995490066,0.00016353,37.43
BTC-20APR25-89000-P,89000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0185,0.092,84464.19995490066,0.05386438,37.43
BTC-20APR25-90000-C,90000.0,1745136000000,call,2025-04-20 08:00:00,1,,0.0002,84464.19995490066,8.14e-05,40.26
BTC-20APR25-90000-P,90000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0295,0.1045,84464.19995490066,0.06562159,40.26
BTC-20APR25-92000-C,92000.0,1745136000000,call,2025-04-20 08:00:00,1,,0.0001,84464.19995490066,2.798e-05,46.58
BTC-20APR25-92000-P,92000.0,1745136000000,put,2025-04-20 08:00:00,1,0.052,0.1285,84464.19995490066,0.08924684,46.58
BTC-20APR25-94000-C,94000.0,1745136000000,call,2025-04-20 08:00:00,1,,0.0001,84464.19995490066,9.71e-06,51.93
BTC-20APR25-94000-P,94000.0,1745136000000,put,2025-04-20 08:00:00,1,0.0755,0.1535,84464.19995490066,0.11290725,51.93
BTC-20APR25-96000-C,96000.0,1745136000000,call,2025-04-20 08:00:00,1,,0.0001,84464.19995490066,8.92e-06,60.79
BTC-20APR25-96000-P,96000.0,1745136000000,put,2025-04-20 08:00:00,1,0.098,0.1775,84464.19995490066,0.13658513,60.79
BTC-20APR25-98000-C,98000.0,1745136000000,call,2025-04-20 08:00:00,1,,0.0001,84464.19995490066,4.99e-06,66.76
BTC-20APR25-98000-P,98000.0,1745136000000,put,2025-04-20 08:00:00,1,0.1205,0.2025,84464.19995490066,0.16025987,66.76
BTC-21APR25-76000-C,76000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0685,0.1325,84469.41996392052,0.10049338,56.95
BTC-21APR25-76000-P,76000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0002,0.0004,84469.41996392052,0.00022727,56.95
BTC-21APR25-78000-C,78000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0435,0.1095,84469.41996392052,0.0769696,48.31
BTC-21APR25-78000-P,78000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0003,0.0005,84469.41996392052,0.0003807,48.31
BTC-21APR25-80000-C,80000.0,1745222400000,call,2025-04-21 08:00:00,2,0.02,0.087,84469.41996392052,0.05363108,39.62
BTC-21APR25-80000-P,80000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0006,0.0008,84469.41996392052,0.00071939,39.62
BTC-21APR25-81000-C,81000.0,1745222400000,call,2025-04-21 08:00:00,2,0.01,0.0755,84469.41996392052,0.04218808,35.73
BTC-21APR25-81000-P,81000.0,1745222400000,put,2025-04-21 08:00:00,2,0.001,0.0011,84469.41996392052,0.00111499,35.73
BTC-21APR25-82000-C,82000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0028,0.035,84469.41996392052,0.03114502,32.37
BTC-21APR25-82000-P,82000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0017,0.0021,84469.41996392052,0.00191054,32.37
BTC-21APR25-83000-C,83000.0,1745222400000,call,2025-04-21 08:00:00,2,0.019,0.0225,84469.41996392052,0.02097468,29.75
BTC-21APR25-83000-P,83000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0034,0.0037,84469.41996392052,0.00357879,29.75
BTC-21APR25-84000-C,84000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0115,0.0125,84469.41996392052,0.01255114,28.28
BTC-21APR25-84000-P,84000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0065,0.0075,84469.41996392052,0.00699386,28.28
BTC-21APR25-85000-C,85000.0,1745222400000,call,2025-04-21 08:00:00,2,0.006,0.0065,84469.41996392052,0.00622036,26.63
BTC-21APR25-85000-P,85000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0125,0.013,84469.41996392052,0.01250168,26.63
BTC-21APR25-86000-C,86000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0025,0.003,84469.46974841168,0.00276212,26.7
BTC-21APR25-86000-P,86000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0195,0.023,84469.41996392052,0.02088205,26.7
BTC-21APR25-87000-C,87000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0011,0.0014,84469.41996392052,0.00119111,27.78
BTC-21APR25-87000-P,87000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0295,0.0335,84469.41996392052,0.03114965,27.78
BTC-21APR25-88000-C,88000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0005,0.0007,84469.41996392052,0.00059324,30.11
BTC-21APR25-88000-P,88000.0,1745222400000,put,2025-04-21 08:00:00,2,0.009,0.08,84469.41996392052,0.04239038,30.11
BTC-21APR25-89000-C,89000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0003,0.0005,84469.41996392052,0.00040877,34.07
BTC-21APR25-89000-P,89000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0185,0.0925,84469.41996392052,0.05404451,34.07
BTC-21APR25-90000-C,90000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0003,0.0004,84469.41996392052,0.0003105,38.16
BTC-21APR25-90000-P,90000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0295,0.105,84469.41996392052,0.06578485,38.16
BTC-21APR25-92000-C,92000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0001,0.0004,84469.41996392052,0.00020974,46.26
BTC-21APR25-92000-P,92000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0525,0.1295,84469.41996392052,0.08936129,46.26
BTC-21APR25-94000-C,94000.0,1745222400000,call,2025-04-21 08:00:00,2,0.0001,0.0003,84469.41996392052,0.00010638,51.52
BTC-21APR25-94000-P,94000.0,1745222400000,put,2025-04-21 08:00:00,2,0.075,0.154,84469.41996392052,0.11293514,51.52
BTC-21APR25-96000-C,96000.0,1745222400000,call,2025-04-21 08:00:00,2,,0.0002,84469.41996392052,0.00011942,61.13
BTC-21APR25-96000-P,96000.0,1745222400000,put,2025-04-21 08:00:00,2,0.0975,0.1785,84469.41996392052,0.13662539,61.13
BTC-21APR25-98000-C,98000.0,1745222400000,call,2025-04-21 08:00:00,2,,0.0001,84469.41996392052,7.556e-05,66.31
BTC-21APR25-98000-P,98000.0,1745222400000,put,2025-04-21 08:00:00,2,0.121,0.203,84469.41996392052,0.16025874,66.31
BTC-25APR25-40000-C,40000.0,1745568000000,call,2025-04-25 08:00:00,6,0.5255,0.528,84489.86,0.52661008,176.49
BTC-25APR25-40000-P,40000.0,1745568000000,put,2025-04-25 08:00:00,6,,0.0001,84489.86,3.643e-05,176.49
BTC-25APR25-50000-C,50000.0,1745568000000,call,2025-04-25 08:00:00,6,0.407,0.41,84489.86,0.40839762,146.39
BTC-25APR25-50000-P,50000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0001,0.0003,84489.86,0.00018055,146.39
BTC-25APR25-60000-C,60000.0,1745568000000,call,2025-04-25 08:00:00,6,0.289,0.292,84489.86,0.29010802,102.56
BTC-25APR25-60000-P,60000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0002,0.0003,84489.86,0.00024754,102.56
BTC-25APR25-65000-C,65000.0,1745568000000,call,2025-04-25 08:00:00,6,0.203,0.2615,84489.86,0.23113298,87.09
BTC-25APR25-65000-P,65000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0004,0.0005,84489.86,0.00045079,87.09
BTC-25APR25-66000-C,66000.0,1745568000000,call,2025-04-25 08:00:00,6,0.191,0.2495,84489.86,0.21934291,83.7
BTC-25APR25-66000-P,66000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0004,0.0006,84489.86,0.00049637,83.7
BTC-25APR25-68000-C,68000.0,1745568000000,call,2025-04-25 08:00:00,6,0.167,0.226,84489.86,0.1956943,75.24
BTC-25APR25-68000-P,68000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0004,0.0006,84490.3,0.00051908,75.24
BTC-25APR25-70000-C,70000.0,1745568000000,call,2025-04-25 08:00:00,6,0.1705,0.174,84489.86,0.17209921,67.79
BTC-25APR25-70000-P,70000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0006,0.0007,84489.86,0.00059531,67.79
BTC-25APR25-72000-C,72000.0,1745568000000,call,2025-04-25 08:00:00,6,0.1175,0.181,84489.86,0.14862151,61.68
BTC-25APR25-72000-P,72000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0007,0.001,84489.86,0.00078893,61.68
BTC-25APR25-73000-C,73000.0,1745568000000,call,2025-04-25 08:00:00,6,0.105,0.17,84489.86,0.13690335,58.53
BTC-25APR25-73000-P,73000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0007,0.0009,84490.3,0.00090643,58.53
BTC-25APR25-74000-C,74000.0,1745568000000,call,2025-04-25 08:00:00,6,0.123,0.1275,84489.86,0.12513559,54.63
BTC-25APR25-74000-P,74000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0009,0.0011,84489.86,0.00097433,54.63
BTC-25APR25-75000-C,75000.0,1745568000000,call,2025-04-25 08:00:00,6,0.112,0.116,84489.86,0.11352963,52.05
BTC-25APR25-75000-P,75000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0011,0.0013,84489.86,0.00120403,52.05
BTC-25APR25-76000-C,76000.0,1745568000000,call,2025-04-25 08:00:00,6,0.1005,0.104,84489.86,0.10209328,50.18
BTC-25APR25-76000-P,76000.0,1745568000000,put,2025-04-25 08:00:00,6,0.0015,0.0016,84489.86,0.00160333,50.18
