contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
VIX250521C00010000,2025-04-28 20:08:47+00:00,10.0,13.77,13.5,13.8,0.0,0.0,12,5229,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00010500,2025-04-24 13:58:47+00:00,10.5,14.59,12.9,13.2,0.0,0.0,100,100,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00011000,2025-04-24 15:00:45+00:00,11.0,13.8,12.35,12.7,0.0,0.0,10,262,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00011500,2025-04-25 14:35:15+00:00,11.5,13.3,11.85,12.2,0.0,0.0,2,280,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00012000,2025-04-28 13:35:09+00:00,12.0,11.35,11.55,11.65,0.0,0.0,50,2803,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00012500,2025-04-28 17:59:23+00:00,12.5,11.65,11.1,11.2,0.0,0.0,15,340,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00013000,2025-04-28 18:37:09+00:00,13.0,11.05,10.55,10.65,0.0,0.0,934,4666,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00013500,2025-04-15 14:49:30+00:00,13.5,11.6,10.05,10.2,0.0,0.0,10,632,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00014000,2025-04-16 19:18:11+00:00,14.0,13.72,9.6,9.7,0.0,0.0,1,3627,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00014500,2025-04-28 19:41:27+00:00,14.5,9.25,9.05,9.25,0.0,0.0,55,2432,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00015000,2025-04-28 17:09:48+00:00,15.0,9.45,8.6,8.7,0.0,0.0,31,3969,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00015500,2025-04-09 17:19:26+00:00,15.5,15.2,8.1,8.2,0.0,0.0,250,485,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00016000,2025-04-29 13:50:51+00:00,16.0,7.7,7.6,7.7,0.5,6.9444447,50,6695,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00016500,2025-04-16 19:22:45+00:00,16.5,11.35,7.0,7.15,0.0,0.0,3,233,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00017000,2025-04-28 19:50:11+00:00,17.0,6.72,6.65,6.75,0.0,0.0,8,22710,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00017500,2025-04-28 14:31:21+00:00,17.5,6.0,6.15,6.25,0.0,0.0,1,1599,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00018000,2025-04-29 14:39:43+00:00,18.0,5.88,5.65,5.8,-0.3800001,-6.070289,30,84925,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00018500,2025-04-23 17:47:33+00:00,18.5,7.2,5.2,5.4,0.0,0.0,3,16522,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00019000,2025-04-29 14:39:43+00:00,19.0,4.98,4.8,4.9,0.13000011,2.6804147,31,38963,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00019500,2025-04-28 14:31:45+00:00,19.5,4.3,4.4,4.55,0.0,0.0,5,13376,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00020000,2025-04-29 15:25:18+00:00,20.0,4.2,4.0,4.15,0.19999981,4.999995,145,178269,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00020500,2025-04-25 18:35:52+00:00,20.5,3.85,3.65,3.8,0.0,0.0,51,18976,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00021000,2025-04-29 15:26:59+00:00,21.0,3.49,3.35,3.45,0.03999996,1.1594192,14,50446,1.0000000000000003e-05,True,REGULAR,USD
VIX250521C00021500,2025-04-28 18:35:41+00:00,21.5,3.4,3.05,3.15,-0.099999905,-2.85714,1,2225,0.4335994140625,True,REGULAR,USD
VIX250521C00022000,2025-04-29 15:49:59+00:00,22.0,2.81,2.8,2.86,-0.03999996,-1.4035075,8,52206,0.5039112109375,True,REGULAR,USD
VIX250521C00022500,2025-04-29 15:32:57+00:00,22.5,2.72,2.64,2.7,0.26999998,11.020407,23,12658,0.6162147753906251,True,REGULAR,USD
VIX250521C00023000,2025-04-29 15:28:04+00:00,23.0,2.44,2.43,2.51,-0.059999943,-2.3999977,47,36429,0.6748079394531252,True,REGULAR,USD
VIX250521C00023500,2025-04-29 15:08:32+00:00,23.5,2.35,2.27,2.34,-0.00999999,-0.42372844,6,11414,0.7304714453125,True,REGULAR,USD
VIX250521C00024000,2025-04-29 15:58:31+00:00,24.0,2.15,2.12,2.18,-0.099999905,-4.4444404,855,30521,0.7768577001953125,True,REGULAR,USD
VIX250521C00024500,2025-04-29 15:53:26+00:00,24.5,2.0,1.99,2.04,-0.099999905,-4.7619004,8,11347,0.8203142968749999,True,REGULAR,USD
VIX250521C00025000,2025-04-29 15:56:49+00:00,25.0,1.89,1.87,1.92,-0.110000014,-5.500001,1890,113698,0.86132951171875,False,REGULAR,USD
VIX250521C00026000,2025-04-29 15:48:54+00:00,26.0,1.67,1.68,1.73,-0.13,-7.2222223,93,40693,0.9418951123046875,False,REGULAR,USD
VIX250521C00027000,2025-04-29 15:36:49+00:00,27.0,1.5,1.52,1.57,-0.110000014,-6.832299,361,48846,1.0127002490234376,False,REGULAR,USD
VIX250521C00027500,2025-04-29 13:50:17+00:00,27.5,1.43,1.44,1.49,-0.100000024,-6.535949,19,6568,1.0410204199218753,False,REGULAR,USD
VIX250521C00028000,2025-04-29 15:54:15+00:00,28.0,1.42,1.38,1.44,0.0,0.0,28,67000,1.076176494140625,False,REGULAR,USD
VIX250521C00029000,2025-04-29 15:42:33+00:00,29.0,1.27,1.25,1.31,-0.01999998,-1.5503862,3038,22222,1.12891060546875,False,REGULAR,USD
VIX250521C00030000,2025-04-29 15:54:23+00:00,30.0,1.16,1.14,1.19,-0.03000009,-2.521016,1586,133424,1.1748088134765624,False,REGULAR,USD
